ISO,country,unicef_region,income_group,data_year,wasting_national,wasting_national_ll,wasting_national_ul,wasting_male,wasting_female,wasting_urban,wasting_rural,wasting_Q1_poorest,wasting_Q2,wasting_Q3,wasting_Q4,wasting_Q5_richest,wasting_gender_gap,wasting_wealth_gap,wasting_urban_rural_gap
CUB,Cuba,LAC,Upper Middle Income,2019.0,2.0,1.5,2.7,2.0,2.1,2.3,1.5,1.2,1.8,2.5,1.6,3.2,-0.10000000000000009,-2.0,-0.7999999999999998
CZE,Czechia,WE,High Income,2001.0,4.5,4.2,4.8,5.0,4.0,,,,,,,,1.0,,
CIV,Cote d'Ivoire,WCA,Lower Middle Income,2021.0,8.1,7.0,9.3,9.0,7.1,7.6,8.5,6.9,8.8,8.9,8.4,7.3,1.9000000000000004,-0.39999999999999947,0.9000000000000004
PRK,Democratic People's Republic of Korea,EAP,Low Income,2017.0,2.5,,,3.0,2.0,1.7,3.7,,,,,,1.0,,2.0
COD,Democratic Republic of the Congo,WCA,Low Income,2023.0,7.2,,,7.4,6.9,,,,,,,,0.5,,
DJI,Djibouti,ESA,Lower Middle Income,2023.0,12.1,,,,,,,,,,,,,,
DOM,Dominican Republic,LAC,Upper Middle Income,2019.0,2.2,1.8,2.7,2.6,1.7,2.2,2.2,2.9,2.1,1.7,2.1,1.8,0.9000000000000001,1.0999999999999999,0.0
ECU,Ecuador,LAC,Upper Middle Income,2024.0,0.7,0.6,0.9,0.8,0.6,0.7,0.7,,,,,,0.20000000000000007,,0.0
EGY,Egypt,MENA,Lower Middle Income,2021.0,3.3,2.9,3.8,3.5,3.2,4.4,2.7,3.6,2.7,2.9,3.7,,0.2999999999999998,,-1.7000000000000002
SLV,El Salvador,LAC,Upper Middle Income,2021.0,2.9,,,3.2,2.7,,,,,,,,0.5,,
GNQ,Equatorial Guinea,WCA,Upper Middle Income,2011.0,3.1,,,2.7,3.6,2.1,4.0,5.3,1.6,2.6,6.5,0.6,-0.8999999999999999,4.7,1.9
ERI,Eritrea,ESA,Low Income,2010.0,14.6,13.6,15.6,15.7,13.4,10.1,16.5,19.7,19.1,15.0,10.2,7.1,2.299999999999999,12.6,6.4
EST,Estonia,WE,High Income,2014.0,1.5,0.9,2.7,1.7,1.4,1.8,1.1,3.1,2.0,1.9,1.0,0.3,0.30000000000000004,2.8000000000000003,-0.7
SWZ,Eswatini,ESA,Lower Middle Income,2021.0,1.8,1.3,2.6,2.1,1.5,1.8,1.8,1.6,2.4,1.1,2.9,1.1,0.6000000000000001,0.5,0.0
ETH,Ethiopia,ESA,Low Income,2019.0,6.8,5.8,7.9,8.5,5.1,5.4,7.3,11.0,6.9,5.2,5.9,3.9,3.4000000000000004,7.1,1.8999999999999995
FJI,Fiji,EAP,Upper Middle Income,2021.0,4.6,3.6,5.8,4.2,5.0,5.0,4.1,4.0,4.1,4.0,4.3,7.8,-0.7999999999999998,-3.8,-0.9000000000000004
FIN,Finland,WE,High Income,2023.0,1.6,,,,,,,,,,,,,,
GAB,Gabon,WCA,Upper Middle Income,2020.0,3.4,2.8,4.1,3.3,3.5,3.4,3.7,3.4,4.0,3.0,4.4,2.1,-0.20000000000000018,1.2999999999999998,0.30000000000000027
GMB,Gambia,WCA,Low Income,2020.0,5.1,4.3,6.0,5.9,4.1,4.9,5.3,3.9,5.8,5.1,6.5,4.2,1.8000000000000007,-0.30000000000000027,0.39999999999999947
GEO,Georgia,EECA,Upper Middle Income,2018.0,0.6,0.3,1.5,0.7,0.6,0.7,0.6,0.8,0.6,0.7,0.0,1.0,0.09999999999999998,-0.19999999999999996,-0.09999999999999998
DEU,Germany,WE,High Income,2016.0,0.5,,,,,,,,,,,,,,
GHA,Ghana,WCA,Lower Middle Income,2022.0,5.8,4.9,6.8,6.6,5.0,5.7,5.9,5.6,7.6,4.7,6.1,4.7,1.5999999999999996,0.8999999999999995,0.20000000000000018
GRC,Greece,WE,High Income,2003.0,1.5,,,,,,,,,,,,,,
GTM,Guatemala,LAC,Upper Middle Income,2021.0,0.8,,,1.0,0.6,0.7,0.8,,,,,,0.4,,0.10000000000000009
GIN,Guinea,WCA,Lower Middle Income,2022.0,6.4,5.6,7.3,7.2,5.6,,,,,,,,1.6000000000000005,,
GNB,Guinea-Bissau,WCA,Low Income,2019.0,7.8,6.9,8.9,8.5,7.1,,,,,,,,1.4000000000000004,,
GUY,Guyana,LAC,High Income,2019.0,6.5,5.2,8.0,7.3,5.6,4.7,7.0,4.6,5.7,10.0,6.2,7.1,1.7000000000000002,-2.5,2.3
HTI,Haiti,LAC,Lower Middle Income,2023.0,5.0,4.5,5.5,5.5,4.5,,,,,,,,1.0,,
HND,Honduras,LAC,Lower Middle Income,2019.0,1.9,1.6,2.3,2.0,1.8,2.0,1.8,1.7,1.9,2.4,1.4,2.0,0.19999999999999996,-0.30000000000000004,-0.19999999999999996
IND,India,SA,Lower Middle Income,2020.0,18.7,18.4,19.1,19.5,17.9,18.1,19.0,21.9,19.4,17.8,17.3,15.8,1.6000000000000014,6.099999999999998,0.8999999999999986
IDN,Indonesia,EAP,Upper Middle Income,2023.0,8.4,8.2,8.5,9.2,7.5,,,,,,,,1.6999999999999993,,
IRN,Iran (Islamic Republic of),MENA,Upper Middle Income,2017.0,4.3,,,4.4,4.1,3.8,4.6,5.2,4.6,3.5,4.3,3.4,0.3000000000000007,1.8000000000000003,0.7999999999999998
IRQ,Iraq,MENA,Upper Middle Income,2018.0,3.0,2.6,3.5,3.3,2.8,3.0,3.1,3.6,2.4,2.8,3.1,3.3,0.5,0.30000000000000027,0.10000000000000009
IRL,Ireland,WE,High Income,2011.0,0.4,,,,,,,,,,,,,,
JAM,Jamaica,LAC,Upper Middle Income,2018.0,3.2,1.9,5.2,3.3,3.1,4.7,1.5,,,,,,0.19999999999999973,,-3.2
JPN,Japan,EAP,High Income,2010.0,2.4,,,2.9,1.7,,,,,,,,1.2,,
JOR,Jordan,MENA,Lower Middle Income,2023.0,2.3,1.6,3.1,2.0,2.5,2.2,3.1,1.6,1.8,3.6,2.4,2.1,-0.5,-0.5,0.8999999999999999
KAZ,Kazakhstan,EECA,Upper Middle Income,2015.0,3.1,2.5,3.8,2.9,3.3,3.1,3.1,3.0,2.9,3.8,2.9,2.9,-0.3999999999999999,0.10000000000000009,0.0
KEN,Kenya,ESA,Lower Middle Income,2022.0,4.5,4.1,5.0,5.0,4.0,3.8,4.9,9.0,2.6,3.9,3.5,2.6,1.0,6.4,1.1000000000000005
KIR,Kiribati,EAP,Lower Middle Income,2018.0,3.5,2.8,4.5,3.7,3.4,3.5,3.6,3.1,5.7,4.7,3.2,0.7,0.30000000000000027,2.4000000000000004,0.10000000000000009
KWT,Kuwait,MENA,High Income,2023.0,3.5,2.8,4.5,4.2,2.7,,,,,,,,1.5,,
KGZ,Kyrgyzstan,EECA,Lower Middle Income,2023.0,3.0,2.3,3.9,2.9,3.1,3.6,2.8,3.3,2.8,3.5,1.8,3.4,-0.20000000000000018,-0.10000000000000009,-0.8000000000000003
LAO,Lao People's Democratic Republic,EAP,Lower Middle Income,2023.0,10.7,,,10.7,10.8,,,,,,,,-0.10000000000000142,,
LVA,Latvia,WE,High Income,2021.0,1.7,,,,,,,,,,,,,,
